bigflood,bigfloodDPDK,bigfloodeBPF,flood,floodDPDK,floodeBPF,ping,pingDPDK,pingeBPF
0.406,0.967,0.533,0.040,0.274,0.049,0.120,0.380,0.162
0.420,0.865,0.522,0.041,0.282,0.050,0.120,0.390,0.157
0.498,1.02,0.592,0.040,0.276,0.049,0.088,0.382,0.154
0.483,0.962,0.574,0.041,0.286,0.050,0.120,0.381,0.156
0.486,0.932,0.557,0.041,0.282,0.049,0.120,0.379,0.166
0.486,0.994,0.510,0.040,0.274,0.051,0.120,1.43,0.152
0.403,0.985,0.641,0.041,0.274,0.049,0.120,0.377,0.173
0.521,0.871,0.575,0.041,0.283,0.105,0.121,0.378,0.181
0.417,0.912,0.566,0.040,0.272,0.048,0.121,0.381,0.158
0.511,1.04,0.557,0.040,0.262,0.049,0.127,0.388,0.202
0.490,1.03,0.567,0.040,0.267,0.046,0.125,0.381,0.158
0.439,0.915,0.704,0.040,0.279,0.050,0.089,0.379,0.175
0.418,0.891,0.537,0.041,0.280,0.093,0.121,0.379,0.155
0.404,0.984,0.541,0.041,0.284,0.050,0.121,0.379,0.163
0.488,0.930,0.591,0.040,0.314,0.599,0.121,0.382,0.187
0.484,1.06,0.577,0.041,0.282,0.093,0.122,0.382,0.177
0.435,0.979,0.550,0.042,0.279,0.048,0.123,0.382,0.191
0.406,0.862,0.581,0.040,0.280,0.051,0.089,0.380,0.200
0.408,0.911,0.569,0.041,0.298,0.049,0.122,0.376,0.193
0.548,1.04,0.501,0.040,0.259,0.050,0.123,0.379,0.190
0.467,0.967,0.616,0.040,0.275,0.049,0.090,0.379,0.202
0.491,0.912,0.627,0.040,0.271,0.053,0.122,0.379,0.172
0.543,0.979,0.602,0.041,0.279,0.089,0.123,0.384,0.203
